method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,608,2024-07-01,7.670302558688262,1.0,0.8434592227695675,7,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,2,607,2024-06-30,7.665184954794513,0.9983579638752053,0.7044334975369458,75,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,3,121,2023-03-02,7.54497583298012,0.9967159277504105,0.5216198686371101,276,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,4,120,2023-03-01,7.543281217551656,0.9950738916256158,0.5478175287356322,242,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,5,118,2023-02-27,7.541767598949215,0.993431855500821,0.5448641215106733,246,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,6,117,2023-02-26,7.540581554684859,0.9917898193760263,0.4819801587301587,322,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,7,119,2023-02-28,7.538381390861615,0.9901477832512315,0.6142073070607553,161,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,8,122,2023-03-03,7.538237696557075,0.9885057471264368,0.6348034345922277,140,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,9,114,2023-02-23,7.538032032011639,0.986863711001642,0.6760504926108375,98,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,10,116,2023-02-25,7.53497125150283,0.9852216748768473,0.5979581964969897,183,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,11,115,2023-02-24,7.534706734331628,0.9835796387520526,0.6879492337164751,87,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,12,127,2023-03-08,7.530358940813336,0.9819376026272578,0.680977422003284,93,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,13,128,2023-03-09,7.5290783586903665,0.9802955665024631,0.5629650383141762,219,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,14,125,2023-03-06,7.52899353540913,0.9786535303776683,0.7455866858237549,41,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,15,123,2023-03-04,7.527493161009317,0.9770114942528736,0.4504967159277505,362,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,16,124,2023-03-05,7.527397116264524,0.9753694581280788,0.5393071975916804,252,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,17,126,2023-03-07,7.526767035291388,0.9737274220032841,0.41069307608100714,416,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,18,113,2023-02-22,7.526424778858496,0.9720853858784894,0.6139003831417624,162,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,19,129,2023-03-10,7.5236749002489285,0.9704433497536946,0.48547646414887796,316,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,20,130,2023-03-11,7.520920657342782,0.9688013136288999,0.661188013136289,113,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,21,131,2023-03-12,7.512412080477258,0.9671592775041051,0.6232346059113302,149,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,22,132,2023-03-13,7.512106142850985,0.9655172413793104,0.5925010946907499,189,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,23,112,2023-02-21,7.509511565102795,0.9638752052545156,0.46250834701696775,348,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,24,111,2023-02-20,7.509010641829502,0.9622331691297209,0.47367993979200873,332,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,25,133,2023-03-14,7.504699034854409,0.9605911330049262,0.48754748221127536,314,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,26,110,2023-02-19,7.501853456386848,0.9589490968801314,0.535634236453202,258,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,27,134,2023-03-15,7.4966591454588976,0.9573070607553367,0.6230853174603175,150,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,28,137,2023-03-18,7.491880067366274,0.9556650246305419,0.5041857553366175,296,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,29,135,2023-03-16,7.4886173799919336,0.9540229885057471,0.5065216885604816,293,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,30,136,2023-03-17,7.486657859964182,0.9523809523809523,0.500433429118774,299,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,31,109,2023-02-18,7.484954729902885,0.9507389162561576,0.48061720032840727,325,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,32,138,2023-03-19,7.4808380646016746,0.9490968801313628,0.5598165708812262,227,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,33,139,2023-03-20,7.477263545701658,0.9474548440065681,0.460569170771757,352,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,34,108,2023-02-17,7.472655476930737,0.9458128078817734,0.6890903119868638,85,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,35,144,2023-03-25,7.467383024231192,0.9441707717569786,0.4910674603174604,309,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,36,140,2023-03-21,7.466457076615499,0.9425287356321839,0.41734147509578545,404,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,37,107,2023-02-16,7.465019932918942,0.9408866995073891,0.565827312534209,216,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,38,145,2023-03-26,7.463749291367428,0.9392446633825944,0.40349890530925014,431,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,39,141,2023-03-22,7.462728746780009,0.9376026272577996,0.4120784756431308,413,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,40,143,2023-03-24,7.4604178575056865,0.9359605911330049,0.4430660235358512,372,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,41,142,2023-03-23,7.459813322736525,0.9343185550082101,0.44216817186644775,374,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,42,149,2023-03-30,7.45280338544753,0.9326765188834154,0.7246048850574713,58,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,43,146,2023-03-27,7.452260368847189,0.9310344827586207,0.5465849069512863,243,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,44,606,2024-06-29,7.449593195934629,0.9293924466338259,0.6814449917898194,91,3,2,kmeans;dwt;ocsvm,calf;itrans
kmeans,45,148,2023-03-29,7.447256040609756,0.9277504105090312,0.6741815134099616,102,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,46,106,2023-02-15,7.446522133707697,0.9261083743842364,0.6192605363984675,156,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,47,150,2023-03-31,7.4456720683348445,0.9244663382594417,0.6890802545155994,86,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,48,151,2023-04-01,7.4428124030720415,0.922824302134647,0.6425481663929941,132,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,49,152,2023-04-02,7.441169437279227,0.9211822660098522,0.4406919813902572,378,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,50,147,2023-03-28,7.440812343850361,0.9195402298850575,0.6267599890530925,144,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,408,2023-12-14,6.0,0.9745484400656814,0.5285449507389163,270,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,409,2023-12-15,6.0,0.9745484400656814,0.7687713464696223,28,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,410,2023-12-16,6.0,0.9745484400656814,0.602086070060208,175,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,411,2023-12-17,6.0,0.9745484400656814,0.408496921182266,423,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,412,2023-12-18,6.0,0.9745484400656814,0.524937465790914,274,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,413,2023-12-19,6.0,0.9745484400656814,0.38604837164750955,457,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,414,2023-12-20,6.0,0.9745484400656814,0.43738485221674883,382,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,415,2023-12-21,6.0,0.9745484400656814,0.4619034619594965,349,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,416,2023-12-22,6.0,0.9745484400656814,0.536448275862069,257,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,417,2023-12-23,6.0,0.9745484400656814,0.5811314313081555,200,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,418,2023-12-24,6.0,0.9745484400656814,0.5612994663382594,224,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,419,2023-12-25,6.0,0.9745484400656814,0.7587233169129721,33,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,420,2023-12-26,6.0,0.9745484400656814,0.7753734263820471,25,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,421,2023-12-27,6.0,0.9745484400656814,0.6091024220032841,170,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,422,2023-12-28,6.0,0.9745484400656814,0.6665710864805693,110,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,423,2023-12-29,6.0,0.9745484400656814,0.761363232074439,31,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,424,2023-12-30,6.0,0.9745484400656814,0.5618767104542968,222,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,425,2023-12-31,6.0,0.9745484400656814,0.6602880405035578,114,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,426,2024-01-01,6.0,0.9745484400656814,0.730336001642036,52,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,427,2024-01-02,6.0,0.9745484400656814,0.750607074438971,39,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,428,2024-01-03,6.0,0.9745484400656814,0.7595587027914614,32,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,429,2024-01-04,6.0,0.9745484400656814,0.821449849480022,13,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,430,2024-01-05,6.0,0.9745484400656814,0.6969570333880679,79,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,431,2024-01-06,6.0,0.9745484400656814,0.6593145867542419,116,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,432,2024-01-07,6.0,0.9745484400656814,0.6472751778872469,127,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,433,2024-01-08,6.0,0.9745484400656814,0.741815065681445,44,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,434,2024-01-09,6.0,0.9745484400656814,0.6900413245758074,84,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,435,2024-01-10,6.0,0.9745484400656814,0.8102241379310344,18,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,436,2024-01-11,6.0,0.9745484400656814,0.7900059523809524,21,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,437,2024-01-12,6.0,0.9745484400656814,0.7445068418171866,42,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,438,2024-01-13,6.0,0.9745484400656814,0.6096063218390806,167,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,1,439,2024-01-14,6.0,0.9745484400656814,0.615165024630542,159,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,33,400,2023-12-06,5.0,0.9351395730706076,0.5815882594417078,199,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,33,401,2023-12-07,5.0,0.9351395730706076,0.7088071291735084,71,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,33,402,2023-12-08,5.0,0.9351395730706076,0.8403778735632184,8,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,33,403,2023-12-09,5.0,0.9351395730706076,0.6044398604269294,173,5,0,kmeans;dwt;calf;itrans;ocsvm,
dwt,33,404,2023-12-10,5.0,0.9351395730706076,0.6741791187739464,103,5,0,kmeans;dwt;calf;itrans;ocsvm,
