date,13400000,13401000,161832000,161835000,161836000,161838000,2968000,3296000,330387000,620000,633000
2022-11-01,30,12,10,6,0,0,0,2,12,45,53
2022-11-02,32,9,7,2,0,0,0,2,11,59,42
2022-11-03,47,5,21,7,4,4,0,5,28,98,102
2022-11-04,11,2,4,1,1,1,0,1,8,43,38
2022-11-05,0,0,0,0,0,0,0,0,0,19,0
2022-11-06,0,0,0,0,0,0,0,0,0,18,0
2022-11-07,0,0,0,0,0,0,0,0,0,39,0
2022-11-08,42,5,18,4,4,4,0,8,34,88,104
2022-11-09,32,7,14,4,4,4,0,9,20,79,116
2022-11-10,37,6,12,5,3,2,1,9,15,57,77
2022-11-11,42,8,22,4,4,4,0,11,24,76,104
2022-11-12,0,0,0,0,0,0,0,0,0,18,0
2022-11-13,0,0,0,0,0,0,0,0,0,11,0
2022-11-14,21,5,8,2,2,2,1,6,12,57,64
2022-11-15,37,8,10,4,1,1,3,4,8,70,65
2022-11-16,13,2,4,1,1,1,0,0,5,52,25
2022-11-17,35,7,13,3,3,3,8,6,14,60,86
2022-11-18,11,2,4,1,1,1,3,1,5,31,30
2022-11-19,0,0,0,0,0,0,0,0,0,17,0
2022-11-20,0,0,0,0,0,0,0,0,0,19,0
2022-11-21,37,8,13,4,2,1,9,3,11,47,55
2022-11-22,0,0,0,0,0,0,14,0,0,21,0
2022-11-23,35,4,18,4,4,4,17,4,78,52,81
2022-11-24,22,4,11,2,2,2,16,2,57,49,58
2022-11-25,23,4,8,2,2,2,0,2,40,38,60
2022-11-26,0,0,0,0,0,0,0,0,0,19,0
2022-11-27,0,0,0,0,0,0,0,0,0,18,0
2022-11-28,22,4,11,2,2,2,4,2,13,72,93
2022-11-29,25,4,11,2,2,2,9,2,13,73,97
2022-11-30,22,4,8,2,2,2,0,3,10,103,76
2022-12-01,28,4,10,2,2,2,0,4,12,67,97
2022-12-02,21,6,8,2,2,2,0,2,11,76,103
2022-12-03,0,0,0,0,0,0,0,0,0,19,0
2022-12-04,0,0,0,0,0,0,0,0,0,19,0
2022-12-05,23,4,8,2,2,2,2,2,11,69,98
2022-12-06,22,5,8,3,2,2,0,3,10,66,97
2022-12-07,22,4,8,2,2,2,4,3,10,62,100
2022-12-08,15,2,4,1,1,1,5,1,5,29,51
2022-12-09,11,2,4,1,1,1,4,2,5,25,31
2022-12-10,0,0,0,0,0,0,0,0,0,19,0
2022-12-11,0,0,0,0,0,0,0,0,0,19,0
2022-12-12,24,4,8,2,2,2,8,3,10,61,55
2022-12-13,22,4,8,2,2,2,10,3,10,45,50
2022-12-14,21,4,8,2,2,2,3,4,25,46,50
2022-12-15,22,4,8,2,2,2,3,2,10,44,51
2022-12-16,33,6,12,3,3,3,4,3,16,63,75
2022-12-17,0,0,0,0,0,0,0,0,0,8,0
2022-12-18,0,0,0,0,0,0,0,0,0,8,0
2022-12-19,23,4,8,2,2,2,0,3,10,44,47
2022-12-20,22,4,10,2,2,2,14,2,27,46,51
2022-12-21,22,4,11,2,2,2,2,2,13,45,48
2022-12-22,22,4,10,2,2,2,4,2,12,40,50
2022-12-23,22,4,8,2,2,2,3,3,10,45,49
2022-12-24,0,0,0,0,0,0,0,0,0,9,0
2022-12-25,0,0,0,0,0,0,0,0,0,9,0
2022-12-26,94,10,30,15,0,0,0,5,15,97,126
2022-12-27,22,4,8,2,2,2,0,2,10,42,51
2022-12-28,22,4,8,2,2,2,0,2,25,45,51
2022-12-29,22,4,11,2,2,2,0,2,13,44,52
2022-12-30,34,4,12,6,0,0,7,2,6,44,50
2022-12-31,0,0,0,0,0,0,0,0,0,9,0
2023-01-01,0,0,0,0,0,0,0,0,0,8,0
2023-01-02,29,4,14,4,4,4,0,3,22,52,64
2023-01-03,22,4,8,2,2,2,8,2,10,47,60
2023-01-04,22,12,8,2,2,2,9,4,10,54,53
2023-01-05,33,12,12,3,3,3,16,9,101,76,81
2023-01-06,33,12,12,6,0,0,4,6,6,43,51
2023-01-07,0,12,0,0,0,0,0,0,0,9,0
2023-01-08,0,12,0,0,0,0,0,0,0,10,0
2023-01-09,22,4,8,2,2,2,1,6,10,50,50
2023-01-10,11,2,4,1,1,1,9,3,20,42,25
2023-01-11,0,0,0,0,0,0,0,0,0,10,0
2023-01-12,0,0,0,0,0,0,4,0,0,10,0
2023-01-13,0,0,0,0,0,0,5,0,0,10,0
2023-01-14,0,0,0,0,0,0,0,0,0,9,0
2023-01-15,0,0,0,0,0,0,0,0,0,10,0
2023-01-16,0,11,10,3,3,2,0,3,99,45,52
2023-01-17,0,0,0,0,0,0,11,0,0,14,0
2023-01-18,0,0,0,0,0,0,2,0,0,9,0
2023-01-19,0,0,0,0,0,0,4,0,0,11,0
2023-01-20,0,0,0,0,0,0,10,0,0,10,0
