method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
kmeans,1,441,2024-01-16,6.827632190792119,1.0,0.8976447044334975,2,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,2,437,2024-01-12,6.819303962329314,0.9983579638752053,0.7379829638752053,52,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,3,444,2024-01-19,6.81803646093929,0.9967159277504105,0.7646406677613575,40,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,4,448,2024-01-23,6.817319166818139,0.9950738916256158,0.8674802271483306,10,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,5,442,2024-01-17,6.80628790576286,0.993431855500821,0.8842338533114396,4,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,6,435,2024-01-10,6.805339994365242,0.9917898193760263,0.7395582238642584,50,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,7,438,2024-01-13,6.8053322818869075,0.9901477832512315,0.7133270388615216,63,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,8,434,2024-01-09,6.804645656187996,0.9885057471264368,0.8826375205254516,5,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,9,440,2024-01-15,6.802311501443241,0.986863711001642,0.8667952244116037,11,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,10,443,2024-01-18,6.801661539892766,0.9852216748768473,0.7206195949644225,60,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,11,447,2024-01-22,6.801625840928789,0.9835796387520526,0.7590272988505747,42,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,12,436,2024-01-11,6.800830079453109,0.9819376026272578,0.7833933360700602,27,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,13,451,2024-01-26,6.795298580946651,0.9802955665024631,0.7639711959496441,41,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,14,445,2024-01-20,6.794554054014111,0.9786535303776683,0.7900004105090312,25,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,15,449,2024-01-24,6.7902629033464015,0.9770114942528736,0.7250682813355227,59,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,16,450,2024-01-25,6.787842178726518,0.9753694581280788,0.6976981390257253,68,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,17,433,2024-01-08,6.782980142535224,0.9737274220032841,0.8155985221674877,21,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,18,446,2024-01-21,6.781492008406991,0.9720853858784894,0.619353448275862,128,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,19,455,2024-01-30,6.778136128558751,0.9704433497536946,0.6465673918992885,107,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,20,439,2024-01-14,6.776783767495565,0.9688013136288999,0.6869466338259442,74,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,21,452,2024-01-27,6.775616942217497,0.9671592775041051,0.7700500821018063,35,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,22,454,2024-01-29,6.774525575471293,0.9655172413793104,0.7745746442255063,31,5,0,kmeans;dwt;calf;itrans;ocsvm,
kmeans,23,431,2024-01-06,6.771704844634736,0.9638752052545156,0.744910372194855,48,5,0,kmeans;dwt;calf;itrans;ocsvm,
