date,variant,anomaly_type,customer,consensus_rank,consensus_score,available_method_count,missing_method_count
2022-11-23,raw_log1p,contextual_point,161838000,21,0.8893404488232074,5,0
2022-11-23,raw_log1p,contextual_point,330387000,20,0.9259715380405036,5,0
2022-12-26,raw_log1p,contextual_point,13400000,3,0.9812790777230432,5,0
2022-12-26,raw_log1p,contextual_point,161832000,17,0.927220169677066,5,0
2022-12-26,raw_log1p,contextual_point,161835000,8,0.9631790503557746,5,0
2022-12-26,raw_log1p,contextual_point,633000,13,0.92702346743295,5,0
2022-12-26,raw_log1p,global_point,13400000,4,0.9631805555555556,5,0
2023-02-06,raw_log1p,contextual_point,620000,5,0.9761562671045428,5,0
2023-02-06,raw_log1p,contextual_point,633000,4,0.982199302134647,5,0
2023-02-09,raw_log1p,contextual_point,330387000,7,0.975762862616311,5,0
2023-02-20,raw_log1p,contextual_point,620000,18,0.915382115489874,5,0
2023-03-15,raw_log1p,contextual_point,161838000,13,0.9409636699507388,5,0
2023-03-20,raw_log1p,contextual_point,3296000,20,0.9109554597701148,5,0
2023-03-29,raw_log1p,global_point,13401000,25,0.8700138888888889,5,0
2023-04-03,raw_log1p,contextual_point,,11,0.9613591269841272,5,0
2023-04-03,raw_log1p,contextual_point,13400000,2,0.9970443349753694,5,0
2023-04-03,raw_log1p,contextual_point,13401000,19,0.8903769841269842,5,0
2023-04-03,raw_log1p,contextual_point,161832000,11,0.9556633141762452,5,0
2023-04-03,raw_log1p,contextual_point,161835000,11,0.9614155719759168,5,0
2023-04-03,raw_log1p,contextual_point,161836000,6,0.9781369731800768,5,0
2023-04-03,raw_log1p,contextual_point,3296000,7,0.96873460591133,5,0
2023-04-03,raw_log1p,contextual_point,330387000,25,0.9200157361795294,5,0
2023-04-03,raw_log1p,contextual_point,633000,14,0.9251642036124796,5,0
2023-04-03,raw_log1p,global_point,,22,0.908597222222222,5,0
2023-04-03,raw_log1p,global_point,13400000,2,0.9946666666666668,5,0
2023-04-03,raw_log1p,global_point,13401000,23,0.8868055555555555,5,0
2023-04-03,raw_log1p,global_point,161836000,10,0.9815277777777776,5,0
2023-04-03,raw_log1p,global_point,330387000,8,0.8964722222222221,5,0
2023-04-21,raw_log1p,global_point,13401000,14,0.9219444444444445,5,0
2023-04-26,raw_log1p,contextual_point,13400000,13,0.9305897646414888,5,0
2023-04-28,raw_log1p,global_point,13401000,15,0.921625,5,0
2023-05-04,raw_log1p,contextual_point,161838000,15,0.933174261083744,5,0
2023-05-04,raw_log1p,contextual_point,330387000,11,0.9530172413793104,5,0
2023-05-10,raw_log1p,global_point,633000,23,0.8246249999999999,5,0
2023-05-17,raw_log1p,contextual_point,161838000,25,0.8794437602627256,5,0
2023-05-22,raw_log1p,contextual_point,3296000,24,0.8957170224411604,5,0
2023-07-19,raw_log1p,contextual_point,3296000,21,0.9065527504105092,5,0
2023-07-24,raw_log1p,contextual_point,13400000,21,0.8933087027914614,5,0
2023-07-24,raw_log1p,contextual_point,161832000,22,0.9188235495347564,5,0
2023-07-24,raw_log1p,contextual_point,161838000,10,0.958562534209086,5,0
2023-07-24,raw_log1p,contextual_point,633000,6,0.9794317870826492,5,0
2023-08-07,raw_log1p,contextual_point,330387000,9,0.9605808702791462,5,0
