anomaly_type,k,recall,hits,labels
global_peak,1,0.5,5,10
global_peak,2,0.7,7,10
global_peak,3,0.8,8,10
global_peak,4,0.8,8,10
global_peak,5,0.9,9,10
global_peak,6,1.0,10,10
global_peak,7,1.0,10,10
global_peak,8,1.0,10,10
global_peak,9,1.0,10,10
global_peak,10,1.0,10,10
global_peak,11,1.0,10,10
global_peak,12,1.0,10,10
global_peak,13,1.0,10,10
global_peak,14,1.0,10,10
global_peak,15,1.0,10,10
global_peak,16,1.0,10,10
global_peak,17,1.0,10,10
global_peak,18,1.0,10,10
global_peak,19,1.0,10,10
global_peak,20,1.0,10,10
global_peak,21,1.0,10,10
global_peak,22,1.0,10,10
global_peak,23,1.0,10,10
global_peak,24,1.0,10,10
global_peak,25,1.0,10,10
global_peak,26,1.0,10,10
global_peak,27,1.0,10,10
global_peak,28,1.0,10,10
global_peak,29,1.0,10,10
global_peak,30,1.0,10,10
global_peak,31,1.0,10,10
global_peak,32,1.0,10,10
global_peak,33,1.0,10,10
global_peak,34,1.0,10,10
global_peak,35,1.0,10,10
global_peak,36,1.0,10,10
global_peak,37,1.0,10,10
global_peak,38,1.0,10,10
global_peak,39,1.0,10,10
global_peak,40,1.0,10,10
global_peak,41,1.0,10,10
global_peak,42,1.0,10,10
global_peak,43,1.0,10,10
global_peak,44,1.0,10,10
global_peak,45,1.0,10,10
global_peak,46,1.0,10,10
global_peak,47,1.0,10,10
global_peak,48,1.0,10,10
global_peak,49,1.0,10,10
global_peak,50,1.0,10,10
global_peak,51,1.0,10,10
global_peak,52,1.0,10,10
global_peak,53,1.0,10,10
global_peak,54,1.0,10,10
global_peak,55,1.0,10,10
global_peak,56,1.0,10,10
global_peak,57,1.0,10,10
global_peak,58,1.0,10,10
global_peak,59,1.0,10,10
global_peak,60,1.0,10,10
global_peak,61,1.0,10,10
global_peak,62,1.0,10,10
global_peak,63,1.0,10,10
global_peak,64,1.0,10,10
global_peak,65,1.0,10,10
global_peak,66,1.0,10,10
global_peak,67,1.0,10,10
global_peak,68,1.0,10,10
global_peak,69,1.0,10,10
global_peak,70,1.0,10,10
global_peak,71,1.0,10,10
global_peak,72,1.0,10,10
global_peak,73,1.0,10,10
global_peak,74,1.0,10,10
global_peak,75,1.0,10,10
global_peak,76,1.0,10,10
global_peak,77,1.0,10,10
global_peak,78,1.0,10,10
global_peak,79,1.0,10,10
global_peak,80,1.0,10,10
global_peak,81,1.0,10,10
global_peak,82,1.0,10,10
global_peak,83,1.0,10,10
global_peak,84,1.0,10,10
global_peak,85,1.0,10,10
global_peak,86,1.0,10,10
global_peak,87,1.0,10,10
global_peak,88,1.0,10,10
global_peak,89,1.0,10,10
